tweet,target
"I'm getting back into rythm now, but there may not be enough time now to do the second piece!",0
I think I deserve Chipotle on a lazy day like this,4
"painted his garage door with his lovely wife on the weekend... more specifically, Sunday, the much colder of the 2 days.",4
Just been sunbaking. I feel nice and brown LOL.... Went shopping this morning and have work at 4.00,0
@trooper346 I forgot it was a girl  Carol R. Carter or Beverly Grimm ?,4
@JuicyAsh haha and did you say &quot;Why thank you very much!&quot; ??,4
Has way too much to do over the next month.,0
@mvk666 hope things will be okay.,0
@amazingphoebe how was work last night anyway?,0
SIGH. I need to find my real-life effron,0
@aplusk Hey! They did a section of MalariaNoMore on BBC Breakfast News and they didn't even mention Twitter,0
"Wedding gig in Chattanooga: bad. Getting paid to sing, even if it's a wedding gig in Chattanooga: good. I am blessed.  Thanks, Big Man",4
Is trying to get back asleep!,4
tweetup afterparty at genji,4
"@JPGofMe Thanks, btw. Did you still want to work on the site tonight or would you rather do it tomorrow? I don't work at all tomorrow!",4
@SoftSurrender Nope i dont think so! Im gonna be off now anyway!  You'll have to twitter me or FB me about the thing!! LY loadsss xxxxxxxx,0
is listening to some Keri Hilson while Studyn for Finals...ughhh it's that time of the semester,0
carley week was a huge success! thanks to all who made it possible. and as for you @LDDaniel... so sorry about the quick sand,4
Wish I could. I'll be in class.  @jimmyjosh,0
"haa, im so jealous, good luck  no im not, im at school, my friend has tickets though. i really wanted to go! hah x",4
gonna do coursework now,0
@bradbaris ME TOO,0
in the new kingdom hearts for DS will it be possible to play as Vexen?   http://chacha.com/q/1f25nwbs,4
i need to knock out..not feeling too well,0
@creativewax,4
It's the most beautiful day ever here and unless I wanna miss the FA Cup Semi (I don't) I've got to stay inside. TV + garden isn't doable,0
Behind on my classes for work,0
my phone isnt working  gotta go to T-Mobile in the morning...,0
"@RealPaulRudd , nice interview On Letterman!! I love your personality, charm and  sense of humor...",4
"@chrispople Jeez Chris, really sorry to hear that",0
@tommcfly no i haven't  hey but you guys are back in England!!! Welll it was super great last night!! Can't wait for the next gig!,0
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,0
"I just wrote the most useless essay I have ever seen in my whole life. teacher, please don't fail me.",0
@inkspotworkshop  I'm on my 2nd cup,4
I want I'm a PC stickers  #pc #microsoft,0
@its_Dani_x sorting my room still. seriously bored and want to play out  hows the work coming along?? x,0
@Doyleyx....@debbie_jean!! Hey ladies! im bored....ignoring revision and twittering instead! haha miss u both  xxxxxxxxxxxxxxxxxxx,0
@mileycyrus - *BIG HUGS* Sorry it's so crazy...And that you're feeling so lonely!  But I promise the time's gonna fly by!,0
"@Senilius_110 Oh, enjoy your new job. Good luck",4
@alaksir thank you pak,4
I can breathe now! Stupid flu,0
"@peterbromberg My French isn't better I guess, so I watched the German dubbed version.  Maybe there's a Engl. subtitled version out there.",4
@Storm_Crow oooo nom! I so would but I think @shinydan and @dominacaffiene would shout at me for moving,0
@MussoMitchel we're thinking of you  &lt;3 cant wait til your album comes out! you rock Mitchel,4
Car broken,0
Follow me if any of you have ever adopted a pet from an animal shelter,4
"@EmReads @DevourerofBooks @kissmybook I do think Specials ought to be good, but I don't even have a copy to read, yet",4
"@MandyHowerton Bwaaahaha! Yes! That should be his punishment, but then I'd have to eat the airfare. I can't change the name on the ticket",0
@lilyroseallen it won't let me add you on myspace. I'm quite sad  Can you fix that?,0
"@meedee64  Coooeee, How's your day been",4
I'm craving for the long weekend...,0
@djslikk - damn...it sounds hot there,4
@Dannnnni i gave up  i checked everywhere!!! i cant find it ='[ but its okay i guess coz i will put it in my memory box! ily xxxx,0
"@remzology the audacity of hope, perhaps?",4
@nrg07 iya kak. it's kinda sucks,0
"@kaimere That's exactly right, mate! Anywhoo -- we'll definitely keep you in the loop. Cheers!",4
"@MissCassandra StiLL on my &quot;Lions &amp; Tigers &amp; Bears&quot; shyt.............  but GOD is gOOd consequently, I wiLL be tOO",0
@thethomas Im fine  how are you?,4
@brandiei thanks! Finally something that I can smile about,4
@NBAgrl914  Clean Me!,0
my f**king blackberry is messed up!!!,0
unfortunately i have to do some work now,0
where are my rings!!??  i dont remember where i put them down,0
"@sebpayne as Alan Partridge said, Wings are the band the Beatles could have been LOL. I play a 1980, 4001 rickenbacker bass. S'lovely",4
@kparker3  Good morning Kim!  Hope you get the yard work done today,4
"with Cody, but that was horrible. never again. I'm traumatized",0
is downloading themes for her phone.  http://plurk.com/p/n0q72,4
@iliPahgz LOL. That's how exactly how I feel about the iPhone at times,4
@robbie42601 Good Morning! *hugs*,4
@crkaul  Thanks for the follow,4
we lost in netball  but we'll win in tennis tomorrow.,0
string cheese and MTV. . . Maybe it might get my mind off how bad this week is going,0
@dinadb where are you?,0
What a beautiful day in England..... working  xxx,4
does not want to think about homework,0
@KeithFollett Actually worse...,0
Thinking of quitting smoking then join @robangus on the #twitterquitter,4
@Wossy I just love the pair of you. Its so heart warming to hear about how much you care for each other each day.,4
@Sera_Bishop exactly thats whats happening... especially when you have a trainee and you cant work with him cos he is just not interested,0
"@littledavo haha thanks  now its done, and i can check one more thing of that to do list",4
@saywhatx  I love you moree&lt;3,4
"@Tiffheartzero yeah, apparently so. I noticed a ring on his finger at the show",0
totally not feeling good right now  feels like a docter apointment is coming,0
"@DannyGirlAlways I will ttyl, I feel bad for leaving you",0
Long day.  Last night of Spring Break,0
i hate sleeping alone,0
@stephjonesmusic thanks friend..im jelly ur having roscoes right now,0
Aw!!! Its the exact same temperature here and in Phoenix today! I wanna go have a picnic on the lake!!!!,4
Thank you everyone. I seriously am I lucky guy to have such great and lovely friends. Let's keep in touch  chuckishere.com at #LAX,4
@KourtneyKardash I love this movie! Enjoy,4
Can't wait for tomorrow,4
@bobbyllew http://twitpic.com/3jc7e - The one day i'm not in norwich,0
@singkit ban from where? that *online* place is dead. D-E-D Dead!,4
it's going...going...going...didnt expect it to be this soon,0
Ok ok so I got on the bus buh I'll be sooo late if I walked  xx,0
opening wine - Charlton have been relegated,0
I Joined ShoeDazzle Society by @KimKardashian I am Excited! Can't wait for my Shoe selection!  Link: http://www.shoedazzle.com/,4
@TissieTC I agree with you!.. @nick_carter doesnt love us as much as @brian_littrell does  ? cuz he comes and visit us at fanclub chat!,4
Wants Paul To Get Better Soon  &lt;3,4
its about to be a loooong day,0
