input,output
Find papers by Anthony Fauci on COVID vaccine effectiveness from the last 3 years,"{""authors"": [""Anthony Fauci""], ""topics"": [""COVID vaccine effectiveness""], ""start_date"": ""2022/01/01"", ""end_date"": ""2025/12/31"", ""max_results"": 50, ""filename"": ""data/covid_vaccine_effectiveness_fauci_2022-2025.csv""}"
effects of the Gaza war on children mental health between 2015 and 2024,"{""authors"": [], ""topics"": [""effects of the Gaza war on children mental health""], ""start_date"": ""2015/01/01"", ""end_date"": ""2024/12/31"", ""max_results"": 50, ""filename"": ""data/gaza_war_effects_children_mental_health_2015-2024.csv""}"
I need 200 studies on breast cancer screening by Smith and Johnson since 2020,"{""authors"": [""Smith"", ""Johnson""], ""topics"": [""breast cancer screening""], ""start_date"": ""2020/01/01"", ""end_date"": ""2025/12/31"", ""max_results"": 200, ""filename"": ""data/breast_cancer_screening_smith_johnson_2020-2025.csv""}"
cardiovascular disease research in elderly populations from 2010 to 2018,"{""authors"": [], ""topics"": [""cardiovascular disease research in elderly populations""], ""start_date"": ""2010/01/01"", ""end_date"": ""2018/12/31"", ""max_results"": 50, ""filename"": ""data/cardiovascular_disease_elderly_2010-2018.csv""}"
"RNA sequencing studies by Chen and Williams, need many papers","{""authors"": [""Chen"", ""Williams""], ""topics"": [""RNA sequencing studies""], ""start_date"": """", ""end_date"": """", ""max_results"": 100, ""filename"": ""data/rna_sequencing_studies_chen_williams.csv""}"
diabetes treatment outcomes in rural Africa from past decade,"{""authors"": [], ""topics"": [""diabetes treatment outcomes in rural Africa""], ""start_date"": ""2015/01/01"", ""end_date"": ""2025/12/31"", ""max_results"": 50, ""filename"": ""data/diabetes_treatment_rural_africa_2015-2025.csv""}"
"air pollution and respiratory disease correlation by Zhang, just few papers needed","{""authors"": [""Zhang""], ""topics"": [""air pollution and respiratory disease correlation""], ""start_date"": """", ""end_date"": """", ""max_results"": 25, ""filename"": ""data/air_pollution_respiratory_disease_zhang.csv""}"
systematic reviews on Alzheimer drug development from 2019 to 2023,"{""authors"": [], ""topics"": [""systematic reviews on Alzheimer drug development""], ""start_date"": ""2019/01/01"", ""end_date"": ""2023/12/31"", ""max_results"": 50, ""filename"": ""data/systematic_reviews_alzheimer_drug_2019-2023.csv""}"
"recent studies on mRNA vaccine technology by Karikó and Weissman, get 150 papers","{""authors"": [""Karik\u00f3"", ""Weissman""], ""topics"": [""mRNA vaccine technology""], ""start_date"": ""2022/01/01"", ""end_date"": ""2025/12/31"", ""max_results"": 150, ""filename"": ""data/mrna_vaccine_technology_kariko_weissman_2022-2025.csv""}"
healthcare access challenges during COVID pandemic in developing countries since 2020,"{""authors"": [], ""topics"": [""healthcare access challenges during COVID pandemic in developing countries""], ""start_date"": ""2020/01/01"", ""end_date"": ""2025/12/31"", ""max_results"": 50, ""filename"": ""data/healthcare_access_covid_developing_2020-2025.csv""}"
